1,S,0
0.2,M,4
1,M,1
0,S,3
2,L,3
1,S,1
0.4,S,1
0.4,S,1
0.4,S,1
0.4,S,1
2,M,1
0.5,M,2
0.5,M,3
0.5,M,4
2,L,5
0,L,7
3,S,0
0,S,1
0,S,2
0,S,3
0,S,4
3,M,5
0,M,7
2,S,5
0,S,6
0,S,7
0,S,8
0,L,0
0,L,4
5,M,0
0,M,2
0,M,4
3,M,5
0,M,7
2,L,5
0,L,7
5,S,0
0,S,2
0,S,4
0.5,M,1
0.5,M,3
1,L,2
2,L,0
0,L,4
2,M,5
0,M,7
3,M,0
0.2,M,2
0.2,M,4
2,S,0
0,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
2,M,0
0,S,1
0,M,2
0,S,3
0,M,4
0,S,5
0.2,M,6
0,S,7
0.2,M,8
2,S,5
0,S,6
0,S,7
0,S,8
0,L,0
0,L,4
5,M,0
0,M,2
0,M,4
0,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
0.2,M,0
0,S,1
0,M,2
0,S,3
0,M,4
0,S,5
0,M,6
0,S,7
0,M,8
0,L,1
0,S,2
0,L,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
3,L,0
0,M,1
0,L,2
0,M,3
0,L,4
0,M,5
0.2,L,6
0,M,7
0.2,L,8
0,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
0.2,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
0.4,M,1
0,M,2
0,M,3
0,M,4
0,M,5
0,M,6
0,M,7
0,M,8
8,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
0.5,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
0,S,8
0.5,S,1
0,S,3
0,S,5
0,S,6
0,S,7
0,S,8
0.5,S,1
0,S,2
0,S,3
0,S,4
0,S,6
0,S,8
3,L,0
1,L,2
1,L,4
0.5,M,5
0,M,7
1,M,6
0,M,8
1,S,0
0.2,M,4
1,M,1
0,S,3
2,L,3
3,S,0
0,S,1
0,S,3
3,M,5
0,M,7
2,S,5
0,S,6
0,S,7
0,S,8
0,L,0
0,L,4
